,GFT,boro,num_of_progens,numeric_ind,progen_b10sc_1,progen_b10sc_2,progen_gft_1,progen_word_1,progen_word_2,sc5_1,sc5_2,stname
66,S,1,1,N,19751021040,0,B,E,,197510,0,25 ST PEDESTRIAN BRIDGE
67,S,1,1,N,19751021020,0,B,E,,197510,0,25 ST PEDESTRIAN OVERPASS
68,S,1,2,N,11749001010,13427001010,,E,W,117490,134270,25 STREET
69,S,1,1,N,11749501020,0,B,E,,117495,0,25 STREET BRIDGE
70,S,1,1,N,11750001010,0,,E,,117500,0,25 STREET EXTENSION
71,S,1,1,N,19751021070,0,B,E,,197510,0,25 STREET FOOT BRIDGE
72,S,1,1,N,19751021050,0,B,E,,197510,0,25 STREET FOOTBRIDGE
73,S,1,1,N,19751021030,0,B,E,,197510,0,25 STREET PEDESTRIAN BRDG
74,S,1,1,N,19751021010,0,B,E,,197510,0,25 STREET PEDESTRIAN OVPS
75,S,1,2,N,11751001010,13429001010,,E,W,117510,134290,26 STREET
76,S,1,1,N,13431001010,0,,W,,134310,0,27 DRIVE
77,S,1,1,N,13431001020,0,,W,,134310,0,27 ST DRIVE
78,S,1,2,N,11753001010,13431002010,,E,W,117530,134310,27 STREET
79,S,1,1,N,13431001030,0,,W,,134310,0,27 STREET DRIVE
80,S,1,2,N,11755001010,13433001010,,E,W,117550,134330,28 STREET
81,S,1,2,N,11757001010,13435001010,,E,W,117570,134350,29 STREET
82,S,1,2,N,11759001010,13437001010,,E,W,117590,134370,30 STREET
83,S,1,2,N,11761001010,13439001010,,E,W,117610,134390,31 STREET
84,S,1,2,N,11763001010,13441001010,,E,W,117630,134410,32 STREET
85,S,1,2,N,11765001010,13443001010,,E,W,117650,134430,33 STREET
86,S,1,1,N,11768001020,0,,E,,117680,0,34 ST EXTENSION
87,S,1,1,N,11083001110,0,Z,E,,110830,0,34 ST FDR DRIVE SB EN
88,S,1,1,N,11083001090,0,Z,E,,110830,0,34 ST SB ENTRANCE FDR DRV
89,S,1,2,N,11767001010,13445001010,,E,W,117670,134450,34 STREET
90,S,1,1,N,11768001010,0,,E,,117680,0,34 STREET EXTENSION
91,S,1,1,N,11083001120,0,Z,E,,110830,0,34 STREET FDR DRIVE SB EN
92,S,1,2,N,11769001010,13447001010,,E,W,117690,134470,35 STREET
93,S,1,1,N,11771001020,0,,E,,117710,0,36 ST EXTENSION
94,S,1,2,N,11771001010,13449001010,,E,W,117710,134490,36 STREET
95,S,1,1,N,11771001030,0,,E,,117710,0,36 STREET EXTENSION
96,S,1,1,N,11773001020,0,,E,,117730,0,37 ST EXTENSION
97,S,1,2,N,11773001010,13451001010,,E,W,117730,134510,37 STREET
98,S,1,1,N,11773001030,0,,E,,117730,0,37 STREET EXTENSION
99,S,1,1,N,11775001020,0,,E,,117750,0,38 ST EXTENSION
100,S,1,2,N,11775001010,13453001010,,E,W,117750,134530,38 STREET
101,S,1,1,N,11775001030,0,,E,,117750,0,38 STREET EXTENSION
102,S,1,2,N,11777001010,13455001010,,E,W,117770,134550,39 STREET
103,S,1,1,N,11780001020,0,,E,,117800,0,40 ST EXTENSION
104,S,1,2,N,11779001010,13457001010,,E,W,117790,134570,40 STREET
105,S,1,1,N,11780001010,0,,E,,117800,0,40 STREET EXTENSION
106,S,1,1,N,11782001020,0,,E,,117820,0,41 ST EXTENSION
107,S,1,2,N,11781001010,13459002010,,E,W,117810,134590,41 STREET
108,S,1,1,N,11782001010,0,,E,,117820,0,41 STREET EXTENSION
109,S,1,1,N,11783001020,0,,E,,117830,0,42 ST EXTENSION
110,S,1,2,N,11783001010,13461001010,,E,W,117830,134610,42 STREET
111,S,1,1,N,11783001030,0,,E,,117830,0,42 STREET EXTENSION
112,S,1,2,N,11785002010,13463001010,,E,W,117850,134630,43 STREET
113,S,1,2,N,11787001010,13465001010,,E,W,117870,134650,44 STREET
114,S,1,2,N,11789001010,13467001010,,E,W,117890,134670,45 STREET
115,S,1,1,N,19751016010,0,B,W,,197510,0,46 ST PEDESTRIAN OVERPASS
116,S,1,2,N,11791001010,13469001010,,E,W,117910,134690,46 STREET
117,S,1,1,N,19751016030,0,B,W,,197510,0,46 STREET PEDESTRIAN OVPS
118,S,1,2,N,11793001010,13471002010,,E,W,117930,134710,47 STREET
119,S,1,1,N,11796001020,0,,E,,117960,0,48 ST EXTENSION
120,S,1,1,N,11086001110,0,Z,E,,110860,0,48 ST FDR DRIVE NB EN
121,S,1,1,N,11086001090,0,Z,E,,110860,0,48 ST NB ENTRANCE FDR DRV
122,S,1,2,N,11795001010,13473001010,,E,W,117950,134730,48 STREET
123,S,1,1,N,11796001010,0,,E,,117960,0,48 STREET EXTENSION
124,S,1,1,N,11086001120,0,Z,E,,110860,0,48 STREET FDR DRIVE NB EN
125,S,1,1,N,11797004020,0,,E,,117970,0,49 ST EASTBOUND ROADBED
126,S,1,1,N,11798001020,0,,E,,117980,0,49 ST EXTENSION
127,S,1,1,N,11797003020,0,,E,,117970,0,49 ST WESTBOUND ROADBED
128,S,1,2,N,11797001010,13475001010,,E,W,117970,134750,49 STREET
129,S,1,1,N,11797004010,0,,E,,117970,0,49 STREET EB ROADBED
130,S,1,1,N,11798001010,0,,E,,117980,0,49 STREET EXTENSION
131,S,1,1,N,11797003010,0,,E,,117970,0,49 STREET WB ROADBED
132,S,1,2,N,11799001010,13477001010,,E,W,117990,134770,50 STREET
133,S,1,1,N,11802001020,0,,E,,118020,0,51 ST EXTENSION
134,S,1,1,N,19751022080,0,B,E,,197510,0,51 ST FOOT BRIDGE
135,S,1,1,N,19751022060,0,B,E,,197510,0,51 ST FOOTBRIDGE
136,S,1,1,N,19751022040,0,B,E,,197510,0,51 ST PEDESTRIAN BRIDGE
137,S,1,1,N,19751022020,0,B,E,,197510,0,51 ST PEDESTRIAN OVERPASS
138,S,1,2,N,11801001010,13479001010,,E,W,118010,134790,51 STREET
139,S,1,1,N,11802001010,0,,E,,118020,0,51 STREET EXTENSION
140,S,1,1,N,19751022070,0,B,E,,197510,0,51 STREET FOOT BRIDGE
141,S,1,1,N,19751022050,0,B,E,,197510,0,51 STREET FOOTBRIDGE
142,S,1,1,N,19751022030,0,B,E,,197510,0,51 STREET PEDESTRIAN BRDG
143,S,1,1,N,19751022010,0,B,E,,197510,0,51 STREET PEDESTRIAN OVPS
144,S,1,1,N,11804001020,0,,E,,118040,0,52 ST EXTENSION
145,S,1,2,N,11803001010,13481002010,,E,W,118030,134810,52 STREET
146,S,1,1,N,11804001010,0,,E,,118040,0,52 STREET EXTENSION
147,S,1,2,N,11805001010,13483001010,,E,W,118050,134830,53 STREET
148,S,1,1,N,11808001020,0,,E,,118080,0,54 ST EXTENSION
149,S,1,2,N,11807001010,13485001010,,E,W,118070,134850,54 STREET
150,S,1,1,N,11808001010,0,,E,,118080,0,54 STREET EXTENSION
151,S,1,2,N,11809001010,13487001010,,E,W,118090,134870,55 STREET
152,S,1,2,N,11811001010,13489001010,,E,W,118110,134890,56 STREET
153,S,1,2,N,11813001010,13491001010,,E,W,118130,134910,57 STREET
154,S,1,2,N,11815001010,13493001010,,E,W,118150,134930,58 STREET
155,S,1,1,N,11818001020,0,,E,,118180,0,59 ST EXTENSION
156,S,1,1,N,10018601020,0,,W,,100186,0,59 ST PEDESTRIAN UNP
157,S,1,2,N,11817001010,11449002010,,E,W,118170,114490,59 STREET
158,S,1,1,N,11818001010,0,,E,,118180,0,59 STREET EXTENSION
159,S,1,1,N,10018601010,0,,W,,100186,0,59 STREET PEDESTRIAN UNP
160,S,1,1,N,19751006170,0,B,E,,197510,0,60 ST BRIDGE
161,S,1,1,N,19751006150,0,B,E,,197510,0,60 ST FOOT BRIDGE
162,S,1,1,N,19751006130,0,B,E,,197510,0,60 ST FOOTBRIDGE
163,S,1,1,N,19751006080,0,B,E,,197510,0,60 ST PED BRIDGE
164,S,1,1,N,19751006090,0,B,E,,197510,0,60 ST PED OVERPASS
165,S,1,1,N,19751006070,0,B,E,,197510,0,60 ST PEDESTRIAN BRIDGE
166,S,1,1,N,19751006010,0,B,E,,197510,0,60 ST PEDESTRIAN OVERPASS
167,S,1,2,N,11819001010,13497001010,,E,W,118190,134970,60 STREET
168,S,1,1,N,19751006180,0,B,E,,197510,0,60 STREET BRIDGE
169,S,1,1,N,19751006160,0,B,E,,197510,0,60 STREET FOOT BRIDGE
170,S,1,1,N,19751006140,0,B,E,,197510,0,60 STREET FOOTBRIDGE
171,S,1,1,N,19751006120,0,B,E,,197510,0,60 STREET PED BRIDGE
172,S,1,1,N,19751006100,0,B,E,,197510,0,60 STREET PED OVERPASS
173,S,1,1,N,19751006110,0,B,E,,197510,0,60 STREET PEDESTRIAN BRDG
174,S,1,1,N,19751006060,0,B,E,,197510,0,60 STREET PEDESTRIAN OPAS
