,common_use,usps_abbr
697,BENEFIT,BNFT
698,BNFT,BNFT
699,BENEVOLENT,BNVLNT
700,BNVLNT,BNVLNT
701,BERRY,BRY
702,BRY,BRY
703,BETTER,BETR
704,BETR,BETR
705,BTR,BETR
706,BEVERAGE,BEV
707,BEV,BEV
708,BIBLE,BB
709,BB,BB
710,BICYCLE,BIKE
711,BIKE,BIKE
712,BIJOU,BIJ
713,BIJ,BIJ
714,BIJOUTERIE,BIJTR
715,BIJTR,BIJTR
716,BILLETING,BLLTNG
717,BLLTNG,BLLTNG
718,BILLIARD,BILLD
719,BILLD,BILLD
720,BILLING,BLLNG
721,BLLNG,BLLNG
722,BINDER,BDR
723,BDR,BDR
724,BINDERY,BDRY
725,BDRY,BDRY
726,BINDING,BDNG
727,BDNG,BDNG
728,BINGO,BNG
729,BNG,BNG
730,BIOCHEMISTRY,BIOCHEM
731,BIOCHEM,BIOCHEM
732,BIOLOGICAL,BIOL
733,BIO,BIOL
734,BIOL,BIOL
735,BIOLGCL,BIOL
736,BIOLOGIST,BIOGST
737,BIO,BIOGST
738,BIOGST,BIOGST
739,BIOL,BIOGST
740,BIOLOGY,BIO
741,BIOL,BIO
742,BIO,BIO
743,BIOMEDICAL,BIOMDCL
744,BIOMDCL,BIOMDCL
745,BIONOMIC,BIONMC
746,BIONMC,BIONMC
747,BIOTECHNOLOGY,BIOTECH
748,BIOTECH,BIOTECH
749,BISCUIT,BSCT
750,BSCT,BSCT
751,BISHOP,BP
752,BP,BP
753,BISTRO,BSTR
754,BSTR,BSTR
755,BLACK,BLCK
756,BLCK,BLCK
757,BLK,BLCK
758,BLACKSMITH,BSMITH
759,BSMITH,BSMITH
760,BLAZON,BLZN
761,BLZN,BLZN
762,BLEND,BLEN
763,BLEN,BLEN
764,BLESSED,BLSSD
765,BLSSD,BLSSD
766,BLIND,BLND
767,BLND,BLND
768,BLOCK,BLK
769,BLK,BLK
770,BLUEPRINT,BLPRNT
771,BLPRNT,BLPRNT
772,BOARD,BD
773,BD,BD
