,common_use,usps_abbr,pattern,combined,abbr_type
3107,INDS,INDUST,inds,"('inds', 'indust')",business
3108,INDSTRL,IND,indstrl,"('indstrl', 'ind')",business
3109,INDTRY,INDUST,indtry,"('indtry', 'indust')",business
3110,INDUS,INDUST,indus | indus,"('indus | indus', 'indust')",business
3111,INDUST,INDUST,indust,"('indust', 'indust')",business
3112,INDUSTR,INDUST,industr,"('industr', 'indust')",business
3113,INDUSTRIA,IND,industria,"('industria', 'ind')",business
3114,INDUSTRIAL,IND,industrial,"('industrial', 'ind')",business
3115,INDUSTRL,IND,industrl,"('industrl', 'ind')",business
3116,INDUSTRY,INDUST,industry,"('industry', 'indust')",business
3117,INF,INFO,inf | inf | inf,"('inf | inf | inf', 'info')",business
3118,INFANT,INFNT,infant,"('infant', 'infnt')",business
3119,INFINITE,INFINT,infinite,"('infinite', 'infint')",business
3120,INFINT,INFINT,infint,"('infint', 'infint')",business
3121,INFIRM,INFRM,infirm,"('infirm', 'infrm')",business
3122,INFIRMARY,INFRMRY,infirmary,"('infirmary', 'infrmry')",business
3123,INFNT,INFNT,infnt,"('infnt', 'infnt')",business
3124,INFO,INFO,info,"('info', 'info')",business
3125,INFOR,INFO,infor,"('infor', 'info')",business
3126,INFORM,INF,inform,"('inform', 'inf')",business
3127,INFORMATICS,INFRMTCS,informatics,"('informatics', 'infrmtcs')",business
3128,INFORMATION,INFO,information,"('information', 'info')",business
3129,INFRM,INFRM,infrm,"('infrm', 'infrm')",business
3130,INFRMRY,INFRMRY,infrmry,"('infrmry', 'infrmry')",business
3131,INFRMTCS,INFRMTCS,infrmtcs,"('infrmtcs', 'infrmtcs')",business
3132,INGRDNT,INGRDNT,ingrdnt,"('ingrdnt', 'ingrdnt')",business
3133,INGREDIENT,INGRDNT,ingredient,"('ingredient', 'ingrdnt')",business
3134,INITIAL,INIT,initial,"('initial', 'init')",business
3135,INJCTN,INJCTN,injctn,"('injctn', 'injctn')",business
3136,INJECTION,INJCTN,injection,"('injection', 'injctn')",business
3137,INLAND,INLND,inland,"('inland', 'inlnd')",business
3138,INLND,INLND,inlnd,"('inlnd', 'inlnd')",business
3139,INNCNT,INNCNT,inncnt,"('inncnt', 'inncnt')",business
3140,INNER,INNR,inner,"('inner', 'innr')",business
3141,INNKEEPER,INNKPR,innkeeper,"('innkeeper', 'innkpr')",business
3142,INNKPR,INNKPR,innkpr,"('innkpr', 'innkpr')",business
3143,INNOCENT,INNCNT,innocent,"('innocent', 'inncnt')",business
3144,INNOVATION,INNVTN,innovation,"('innovation', 'innvtn')",business
3145,INNOVATIVE,INNVTV,innovative,"('innovative', 'innvtv')",business
3146,INNR,INNR,innr,"('innr', 'innr')",business
3147,INNVTN,INNVTN,innvtn,"('innvtn', 'innvtn')",business
3148,INNVTV,INNVTV,innvtv,"('innvtv', 'innvtv')",business
3149,INQ,INQSTV,inq,"('inq', 'inqstv')",business
3150,INQSTV,INQSTV,inqstv,"('inqstv', 'inqstv')",business
3151,INQUISITIVE,INQSTV,inquisitive,"('inquisitive', 'inqstv')",business
3152,INS,INS,ins | ins,"('ins | ins', 'ins')",business
3153,INSCR,INSCR,inscr,"('inscr', 'inscr')",business
3154,INSCRIPTION,INSCRPTN,inscription,"('inscription', 'inscrptn')",business
3155,INSCRPTN,INSCRPTN,inscrptn,"('inscrptn', 'inscrptn')",business
3156,INSECURE,INSCR,insecure,"('insecure', 'inscr')",business
3157,INSLTD,INSLTD,insltd,"('insltd', 'insltd')",business
3158,INSLTN,INSLTN,insltn,"('insltn', 'insltn')",business
3159,INSP,INSPCTR,insp,"('insp', 'inspctr')",business
3160,INSPCTN,INSPCTN,inspctn,"('inspctn', 'inspctn')",business
3161,INSPCTR,INSPCTR,inspctr,"('inspctr', 'inspctr')",business
3162,INSPECTION,INSPCTN,inspection,"('inspection', 'inspctn')",business
3163,INSPECTOR,INSPCTR,inspector,"('inspector', 'inspctr')",business
3164,INSPTN,INSPCTN,insptn,"('insptn', 'inspctn')",business
3165,INST,INSTRCTR,inst | inst,"('inst | inst', 'instrctr')",business
3166,INSTALLATION,INSTLTN,installation,"('installation', 'instltn')",business
3167,INSTALLER,INSTLLR,installer,"('installer', 'instllr')",business
3168,INSTALLMENT,INSTL,installment,"('installment', 'instl')",business
3169,INSTANT,INSTNT,instant,"('instant', 'instnt')",business
3170,INSTI,INST,insti,"('insti', 'inst')",business
3171,INSTIT,INST,instit,"('instit', 'inst')",business
3172,INSTITUE,INST,institue,"('institue', 'inst')",business
3173,INSTITUT,INST,institut,"('institut', 'inst')",business
3174,INSTITUTE,INST,institute,"('institute', 'inst')",business
3175,INSTITUTION,INSTN,institution,"('institution', 'instn')",business
3176,INSTITUTIONAL,INSTNL,institutional,"('institutional', 'instnl')",business
3177,INSTL,INSTL,instl,"('instl', 'instl')",business
3178,INSTLLR,INSTLLR,instllr,"('instllr', 'instllr')",business
3179,INSTLTN,INSTLTN,instltn,"('instltn', 'instltn')",business
3180,INSTN,INSTN,instn,"('instn', 'instn')",business
3181,INSTNL,INSTNL,instnl,"('instnl', 'instnl')",business
3182,INSTNT,INSTNT,instnt,"('instnt', 'instnt')",business
3183,INSTR,INSTR,instr | instr,"('instr | instr', 'instr')",business
3184,INSTRCTR,INSTRCTR,instrctr,"('instrctr', 'instrctr')",business
3185,INSTRMNTN,INSTRMNTN,instrmntn,"('instrmntn', 'instrmntn')",business
3186,INSTRUCTOR,INSTRCTR,instructor,"('instructor', 'instrctr')",business
3187,INSTRUMENT,INSTR,instrument,"('instrument', 'instr')",business
3188,INSTRUMENTA,INSTRMNTN,instrumenta,"('instrumenta', 'instrmntn')",business
3189,INSTRUMENTATION,INSTRMNTN,instrumentation,"('instrumentation', 'instrmntn')",business
3190,INSUL,INSLTN,insul,"('insul', 'insltn')",business
3191,INSULATED,INSLTD,insulated,"('insulated', 'insltd')",business
3192,INSULATING,INSULG,insulating,"('insulating', 'insulg')",business
3193,INSULATION,INSLTN,insulation,"('insulation', 'insltn')",business
3194,INSULATN,INSLTN,insulatn,"('insulatn', 'insltn')",business
3195,INSULG,INSULG,insulg,"('insulg', 'insulg')",business
3196,INSUR,INS,insur,"('insur', 'ins')",business
3197,INSURAN,INS,insuran,"('insuran', 'ins')",business
3198,INSURANCE,INS,insurance,"('insurance', 'ins')",business
3199,INT,INTR,int,"('int', 'intr')",business
3200,INTEGRATED,INTGRTD,integrated,"('integrated', 'intgrtd')",business
3201,INTELLIGENCE,INTLLGNC,intelligence,"('intelligence', 'intllgnc')",business
3202,INTENTIONAL,INTNTNL,intentional,"('intentional', 'intntnl')",business
3203,INTER,INTERNST,inter | inter | inter | inter,"('inter | inter | inter | inter', 'internst')",business
3204,INTERACTION,INTRCTN,interaction,"('interaction', 'intrctn')",business
3205,INTERACTIVE,INTRCTV,interactive,"('interactive', 'intrctv')",business
3206,INTERCHANGE,INTRCHNG,interchange,"('interchange', 'intrchng')",business
3207,INTERCON,INTERCON,intercon,"('intercon', 'intercon')",business
3208,INTERCONTINENTAL,INTERCON,intercontinental,"('intercontinental', 'intercon')",business
3209,INTEREST,INTRST,interest,"('interest', 'intrst')",business
3210,INTERFAITH,INTRFTH,interfaith,"('interfaith', 'intrfth')",business
3211,INTERIOR,INTR,interior,"('interior', 'intr')",business
3212,INTERMED,INTER,intermed,"('intermed', 'inter')",business
3213,INTERMEDIATE,INTER,intermediate,"('intermediate', 'inter')",business
3214,INTERMEDICS,INTRMDCS,intermedics,"('intermedics', 'intrmdcs')",business
3215,INTERNAL,INTERNL,internal,"('internal', 'internl')",business
3216,INTERNATI,INTRNTL,internati,"('internati', 'intrntl')",business
3217,INTERNATIO,INTRNTL,internatio,"('internatio', 'intrntl')",business
3218,INTERNATION,INTRNTL,internation,"('internation', 'intrntl')",business
3219,INTERNATIONA,INTRNTL,internationa,"('internationa', 'intrntl')",business
3220,INTERNATIONAL,INTRNTL,international,"('international', 'intrntl')",business
3221,INTERNATL,INTRNTL,internatl,"('internatl', 'intrntl')",business
3222,INTERNIST,INTERNST,internist,"('internist', 'internst')",business
3223,INTERNL,INTERNL,internl,"('internl', 'internl')",business
3224,INTERNST,INTERNST,internst,"('internst', 'internst')",business
3225,INTERSTATE,INTSTE,interstate,"('interstate', 'intste')",business
3226,INTERV,INTERV,interv,"('interv', 'interv')",business
3227,INTERVIEWER,INTERV,interviewer,"('interviewer', 'interv')",business
3228,INTGRTD,INTGRTD,intgrtd,"('intgrtd', 'intgrtd')",business
3229,INTL,INTRNTL,intl | intl,"('intl | intl', 'intrntl')",business
3230,INTLLGNC,INTLLGNC,intllgnc,"('intllgnc', 'intllgnc')",business
3231,INTNL,INTRNTL,intnl,"('intnl', 'intrntl')",business
3232,INTNTL,INTNTNL,intntl,"('intntl', 'intntnl')",business
3233,INTR,INTR,intr,"('intr', 'intr')",business
3234,INTRCHNG,INTRCHNG,intrchng,"('intrchng', 'intrchng')",business
3235,INTRCTN,INTRCTN,intrctn,"('intrctn', 'intrctn')",business
3236,INTRCTV,INTRCTV,intrctv,"('intrctv', 'intrctv')",business
3237,INTRFTH,INTRFTH,intrfth,"('intrfth', 'intrfth')",business
3238,INTRMDCS,INTRMDCS,intrmdcs,"('intrmdcs', 'intrmdcs')",business
3239,INTRNTL,INTRNTL,intrntl,"('intrntl', 'intrntl')",business
3240,INTRNTNL,INTRNTL,intrntnl,"('intrntnl', 'intrntl')",business
3241,INTRST,INTSTE,intrst | intrst,"('intrst | intrst', 'intste')",business
3242,INTSTE,INTSTE,intste,"('intste', 'intste')",business
3243,INV,INV,inv | inv,"('inv | inv', 'inv')",business
3244,INVEN,INVTY,inven,"('inven', 'invty')",business
3245,INVENTORY,INVTY,inventory,"('inventory', 'invty')",business
3246,INVEST,INVST,invest,"('invest', 'invst')",business
3247,INVESTED,INVSTD,invested,"('invested', 'invstd')",business
3248,INVESTIGATION,INVSTGTN,investigation,"('investigation', 'invstgtn')",business
3249,INVESTIGATIVE,INVSTGTV,investigative,"('investigative', 'invstgtv')",business
3250,INVESTIGATOR,INVSTR,investigator,"('investigator', 'invstr')",business
3251,INVESTMENT,INVSTMNT,investment,"('investment', 'invstmnt')",business
3252,INVESTMNT,INVSTMNT,investmnt,"('investmnt', 'invstmnt')",business
3253,INVESTMT,INVSTMNT,investmt,"('investmt', 'invstmnt')",business
3254,INVITATIONAL,INVTNL,invitational,"('invitational', 'invtnl')",business
3255,INVOICE,INV,invoice,"('invoice', 'inv')",business
3256,INVST,INVSTMNT,invst | invst,"('invst | invst', 'invstmnt')",business
3257,INVSTD,INVSTD,invstd,"('invstd', 'invstd')",business
3258,INVSTGTN,INVSTGTN,invstgtn,"('invstgtn', 'invstgtn')",business
3259,INVSTGTV,INVSTGTV,invstgtv,"('invstgtv', 'invstgtv')",business
3260,INVSTMNT,INVSTMNT,invstmnt,"('invstmnt', 'invstmnt')",business
3261,INVSTMT,INVSTMNT,invstmt,"('invstmt', 'invstmnt')",business
3262,INVSTR,INVSTR,invstr,"('invstr', 'invstr')",business
3263,INVTNL,INVTNL,invtnl,"('invtnl', 'invtnl')",business
3264,INVTY,INVTY,invty,"('invty', 'invty')",business
3265,IRNWRK,IRNWRK,irnwrk,"('irnwrk', 'irnwrk')",business
3266,IRONWORK,IRNWRK,ironwork,"('ironwork', 'irnwrk')",business
3267,IRRGTN,IRRGTN,irrgtn,"('irrgtn', 'irrgtn')",business
3268,IRRIG,IRRGTN,irrig,"('irrig', 'irrgtn')",business
3269,IRRIGAT,IRRGTN,irrigat,"('irrigat', 'irrgtn')",business
3270,IRRIGATION,IRRGTN,irrigation,"('irrigation', 'irrgtn')",business
3271,IS,ISLE,is,"('is', 'isle')",business
3272,ISL,ISLE,isl,"('isl', 'isle')",business
3273,ISLAND,ISLE,island,"('island', 'isle')",business
3274,ISLANDER,ISLER,islander,"('islander', 'isler')",business
3275,ISLE,ISLE,isle,"('isle', 'isle')",business
3276,ISLER,ISLER,isler,"('isler', 'isler')",business
3277,ISO,ISO,iso,"('iso', 'iso')",business
3278,ISOLATION,ISO,isolation,"('isolation', 'iso')",business
3279,ISOTOPE,ISTP,isotope,"('isotope', 'istp')",business
3280,ISTP,ISTP,istp,"('istp', 'istp')",business
3281,IT,ITAL,it,"('it', 'ital')",business
3282,ITAL,ITAL,ital,"('ital', 'ital')",business
3283,ITALIAN,ITAL,italian,"('italian', 'ital')",business
3284,ITLN,ITAL,itln,"('itln', 'ital')",business
3285,IV,4TH,iv,"('iv', '4th')",business
3286,IX,9TH,ix,"('ix', '9th')",business
3287,JAILER,JLR,jailer,"('jailer', 'jlr')",business
3288,JAN,JANTRL,jan | jan,"('jan | jan', 'jantrl')",business
3289,JANITOR,JANTRL,janitor | janitor,"('janitor | janitor', 'jantrl')",business
3290,JANITORIAL,JANTRL,janitorial,"('janitorial', 'jantrl')",business
3291,JBL,JBL,jbl,"('jbl', 'jbl')",business
3292,JC,JCT,jc | jc,"('jc | jc', 'jct')",business
3293,JCT,JCT,jct,"('jct', 'jct')",business
3294,JCTION,JCT,jction,"('jction', 'jct')",business
3295,JCTN,JCT,jctn,"('jctn', 'jct')",business
3296,JD,JDG,jd,"('jd', 'jdg')",business
3297,JDG,JDG,jdg,"('jdg', 'jdg')",business
3298,JEW,JEW,jew,"('jew', 'jew')",business
3299,JEWELER,JWLR,jeweler,"('jeweler', 'jwlr')",business
3300,JEWELRY,JWLRY,jewelry,"('jewelry', 'jwlry')",business
3301,JEWISH,JEW,jewish,"('jewish', 'jew')",business
3302,JEWLRY,JWLRY,jewlry,"('jewlry', 'jwlry')",business
3303,JLR,JLR,jlr,"('jlr', 'jlr')",business
3304,JNT,JNT,jnt,"('jnt', 'jnt')",business
3305,JNTRL,JANTRL,jntrl,"('jntrl', 'jantrl')",business
3306,JOB,JOB,job,"('job', 'job')",business
3307,JOBBER,JOB,jobber,"('jobber', 'job')",business
3308,JOINT,JNT,joint,"('joint', 'jnt')",business
3309,JOURNAL,JRNL,journal,"('journal', 'jrnl')",business
3310,JOURNALIST,JRNLST,journalist,"('journalist', 'jrnlst')",business
3311,JOURNEY,JRNY,journey,"('journey', 'jrny')",business
3312,JR,JR,jr,"('jr', 'jr')",business
3313,JRNL,JRNL,jrnl,"('jrnl', 'jrnl')",business
3314,JRNLST,JRNLST,jrnlst,"('jrnlst', 'jrnlst')",business
3315,JRNY,JRNY,jrny,"('jrny', 'jrny')",business
3316,JSTC,JSTC,jstc,"('jstc', 'jstc')",business
3317,JUBILEE,JBL,jubilee,"('jubilee', 'jbl')",business
3318,JUDGE,JDG,judge,"('judge', 'jdg')",business
3319,JUICE,JC,juice,"('juice', 'jc')",business
3320,JUNCTION,JCT,junction,"('junction', 'jct')",business
3321,JUNCTN,JCT,junctn,"('junctn', 'jct')",business
3322,JUNCTON,JCT,juncton,"('juncton', 'jct')",business
3323,JUNIOR,JR,junior,"('junior', 'jr')",business
3324,JUSTICE,JSTC,justice,"('justice', 'jstc')",business
3325,JUVENILE,JVNL,juvenile,"('juvenile', 'jvnl')",business
3326,JVNL,JVNL,jvnl,"('jvnl', 'jvnl')",business
3327,JWLR,JWLR,jwlr,"('jwlr', 'jwlr')",business
3328,JWLRY,JWLRY,jwlry,"('jwlry', 'jwlry')",business
3329,JWLY,JWLRY,jwly,"('jwly', 'jwlry')",business
3330,KARATE,KRT,karate,"('karate', 'krt')",business
3331,KDRGRTN,KINDERGTN,kdrgrtn,"('kdrgrtn', 'kindergtn')",business
3332,KENNEL,KNL,kennel,"('kennel', 'knl')",business
3333,KEYBOARD,KYBRD,keyboard,"('keyboard', 'kybrd')",business
3334,KEYSTN,KEYSTN,keystn,"('keystn', 'keystn')",business
3335,KEYSTONE,KEYSTN,keystone,"('keystone', 'keystn')",business
3336,KID,KID,kid,"('kid', 'kid')",business
3337,KIDDIE,KID,kiddie,"('kiddie', 'kid')",business
3338,KINDERGARTEN,KINDERGTN,kindergarten,"('kindergarten', 'kindergtn')",business
3339,KINDERGTN,KINDERGTN,kindergtn,"('kindergtn', 'kindergtn')",business
3340,KINEMATICS,KNMTCS,kinematics,"('kinematics', 'knmtcs')",business
3341,KINGDOM,KNGDM,kingdom,"('kingdom', 'kngdm')",business
3342,KIT,KTCHN,kit,"('kit', 'ktchn')",business
3343,KITCHEN,KTCHN,kitchen,"('kitchen', 'ktchn')",business
3344,KNDGTRN,KINDERGTN,kndgtrn,"('kndgtrn', 'kindergtn')",business
3345,KNDRGRTN,KINDERGTN,kndrgrtn,"('kndrgrtn', 'kindergtn')",business
3346,KNGDM,KNGDM,kngdm,"('kngdm', 'kngdm')",business
3347,KNGHT,KNGHT,knght,"('knght', 'knght')",business
3348,KNIGHT,KNGHT,knight,"('knight', 'knght')",business
3349,KNITTED,KNTTD,knitted,"('knitted', 'knttd')",business
3350,KNITTING,KNT,knitting,"('knitting', 'knt')",business
3351,KNITWEAR,KNTWR,knitwear,"('knitwear', 'kntwr')",business
3352,KNL,KNL,knl,"('knl', 'knl')",business
3353,KNMTCS,KNMTCS,knmtcs,"('knmtcs', 'knmtcs')",business
3354,KNT,KNT,knt | knt,"('knt | knt', 'knt')",business
3355,KNTTD,KNTTD,knttd,"('knttd', 'knttd')",business
3356,KNTWR,KNTWR,kntwr,"('kntwr', 'kntwr')",business
3357,KOSHER,KSHR,kosher,"('kosher', 'kshr')",business
3358,KRT,KRT,krt,"('krt', 'krt')",business
3359,KSHR,KSHR,kshr,"('kshr', 'kshr')",business
3360,KTCHN,KTCHN,ktchn,"('ktchn', 'ktchn')",business
3361,KTN,KTCHN,ktn,"('ktn', 'ktchn')",business
3362,KYBRD,KYBRD,kybrd,"('kybrd', 'kybrd')",business
3363,LAB,LAB,lab | lab,"('lab | lab', 'lab')",business
3364,LABEL,LBL,label,"('label', 'lbl')",business
3365,LABORATORY,LAB,laboratory,"('laboratory', 'lab')",business
3366,LABORER,LBR,laborer,"('laborer', 'lbr')",business
3367,LACQ,LACQ,lacq,"('lacq', 'lacq')",business
3368,LACQUER,LACQ,lacquer,"('lacquer', 'lacq')",business
3369,LAMINATE,LMNT,laminate,"('laminate', 'lmnt')",business
3370,LAMINATING,LMNTNG,laminating,"('laminating', 'lmntng')",business
3371,LANCE,LNC,lance,"('lance', 'lnc')",business
3372,LANDFILL,LNDFLL,landfill,"('landfill', 'lndfll')",business
3373,LANDMARK,LNDMRK,landmark,"('landmark', 'lndmrk')",business
3374,LANDSCAPE,LNDSCP,landscape,"('landscape', 'lndscp')",business
3375,LANDSCAPING,LANDSCPG,landscaping,"('landscaping', 'landscpg')",business
3376,LANDSCP,LNDSCP,landscp,"('landscp', 'lndscp')",business
3377,LANDSCPG,LANDSCPG,landscpg,"('landscpg', 'landscpg')",business
3378,LANG,LANG,lang,"('lang', 'lang')",business
3379,LANGUAGE,LANG,language,"('language', 'lang')",business
3380,LAPDRY,LAPDRY,lapdry,"('lapdry', 'lapdry')",business
3381,LAPIDARY,LAPDRY,lapidary,"('lapidary', 'lapdry')",business
3382,LAR,LARYNGLGY,lar | lar,"('lar | lar', 'larynglgy')",business
3383,LARGE,LRGE,large,"('large', 'lrge')",business
3384,LARYNGLGST,LARYNGLGST,larynglgst,"('larynglgst', 'larynglgst')",business
3385,LARYNGLGY,LARYNGLGY,larynglgy,"('larynglgy', 'larynglgy')",business
3386,LARYNGOLOGIST,LARYNGLGST,laryngologist,"('laryngologist', 'larynglgst')",business
3387,LARYNGOLOGY,LARYNGLGY,laryngology,"('laryngology', 'larynglgy')",business
3388,LASER,LSR,laser,"('laser', 'lsr')",business
3389,LASTING,LSTNG,lasting,"('lasting', 'lstng')",business
3390,LATHING,LTHG,lathing,"('lathing', 'lthg')",business
3391,LATTER,LTTR,latter,"('latter', 'lttr')",business
3392,LAUNDERER,LDRER,launderer,"('launderer', 'ldrer')",business
3393,LAUNDROMAT,LNDRMT,laundromat,"('laundromat', 'lndrmt')",business
3394,LAUNDRY,LNDRY,laundry,"('laundry', 'lndry')",business
3395,LAWYER,LWYR,lawyer,"('lawyer', 'lwyr')",business
3396,LBL,LBL,lbl,"('lbl', 'lbl')",business
3397,LBLTY,LBLTY,lblty,"('lblty', 'lblty')",business
3398,LBR,LMBR,lbr | lbr,"('lbr | lbr', 'lmbr')",business
3399,LBRN,LIBRN,lbrn,"('lbrn', 'librn')",business
3400,LBRRY,LBRY,lbrry,"('lbrry', 'lbry')",business
3401,LBRTY,LBRTY,lbrty,"('lbrty', 'lbrty')",business
3402,LBRY,LBRY,lbry,"('lbry', 'lbry')",business
3403,LBSTR,LBSTR,lbstr,"('lbstr', 'lbstr')",business
3404,LCKR,LCKR,lckr,"('lckr', 'lckr')",business
3405,LCKSMTH,LOKSMTH,lcksmth,"('lcksmth', 'loksmth')",business
3406,LCKY,LCKY,lcky,"('lcky', 'lcky')",business
3407,LCL,LCL,lcl,"('lcl', 'lcl')",business
3408,LCNSD,LCNSD,lcnsd,"('lcnsd', 'lcnsd')",business
3409,LCTN,LCTN,lctn,"('lctn', 'lctn')",business
3410,LDG,LDG,ldg,"('ldg', 'ldg')",business
3411,LDGE,LDG,ldge,"('ldge', 'ldg')",business
3412,LDNG,LDNG,ldng,"('ldng', 'ldng')",business
3413,LDR,LODR,ldr | ldr,"('ldr | ldr', 'lodr')",business
3414,LDRER,LDRER,ldrer,"('ldrer', 'ldrer')",business
3415,LDRY,LNDRY,ldry,"('ldry', 'lndry')",business
3416,LDSCP,LNDSCP,ldscp,"('ldscp', 'lndscp')",business
3417,LDSCPG,LANDSCPG,ldscpg,"('ldscpg', 'landscpg')",business
3418,LEA,LTHR,lea | lea,"('lea | lea', 'lthr')",business
3419,LEADER,LDR,leader,"('leader', 'ldr')",business
3420,LEAG,LEA,leag,"('leag', 'lea')",business
3421,LEAGUE,LEA,league,"('league', 'lea')",business
3422,LEARN,LEARN,learn,"('learn', 'learn')",business
3423,LEARNING,LEARN,learning,"('learning', 'learn')",business
3424,LEAS,LS,leas,"('leas', 'ls')",business
3425,LEASE,LEASE,lease | lease,"('lease | lease', 'lease')",business
3426,LEASING,LEASE,leasing,"('leasing', 'lease')",business
3427,LEATHER,LTHR,leather,"('leather', 'lthr')",business
3428,LEC,LECTR,lec,"('lec', 'lectr')",business
3429,LECT,LECTR,lect | lect,"('lect | lect', 'lectr')",business
3430,LECTR,LECTR,lectr,"('lectr', 'lectr')",business
3431,LECTURE,LECT,lecture,"('lecture', 'lect')",business
3432,LECTURER,LECTR,lecturer,"('lecturer', 'lectr')",business
3433,LEG,LGL,leg,"('leg', 'lgl')",business
3434,LEGAL,LGL,legal,"('legal', 'lgl')",business
3435,LEGION,LGN,legion,"('legion', 'lgn')",business
3436,LEISURE,LSUR,leisure,"('leisure', 'lsur')",business
3437,LENGTH,LNGTH,length,"('length', 'lngth')",business
3438,LESSOR,LSSR,lessor,"('lessor', 'lssr')",business
3439,LETTER,LTR,letter,"('letter', 'ltr')",business
3440,LETTERPRESS,LTRPRS,letterpress,"('letterpress', 'ltrprs')",business
3441,LEVER,LVR,lever,"('lever', 'lvr')",business
3442,LGC,LGC,lgc,"('lgc', 'lgc')",business
3443,LGCL,LGCL,lgcl,"('lgcl', 'lgcl')",business
3444,LGE,LEA,lge,"('lge', 'lea')",business
3445,LGHTG,LIGHT,lghtg,"('lghtg', 'light')",business
3446,LGHTR,LGHTR,lghtr,"('lghtr', 'lghtr')",business
3447,LGL,LGL,lgl | lgl,"('lgl | lgl', 'lgl')",business
3448,LGN,LGN,lgn,"('lgn', 'lgn')",business
3449,LGT,LGT,lgt,"('lgt', 'lgt')",business
3450,LIABILITY,LBLTY,liability,"('liability', 'lblty')",business
3451,LIB,LBRY,lib | lib,"('lib | lib', 'lbry')",business
3452,LIBERTY,LBRTY,liberty,"('liberty', 'lbrty')",business
3453,LIBR,LIBRN,libr,"('libr', 'librn')",business
3454,LIBRAR,LBRY,librar,"('librar', 'lbry')",business
3455,LIBRARIAN,LIBRN,librarian,"('librarian', 'librn')",business
3456,LIBRARY,LBRY,library,"('library', 'lbry')",business
3457,LIBRN,LIBRN,librn,"('librn', 'librn')",business
3458,LIBRY,LBRY,libry,"('libry', 'lbry')",business
3459,LIBTY,LBRTY,libty,"('libty', 'lbrty')",business
3460,LICENSED,LCNSD,licensed,"('licensed', 'lcnsd')",business
3461,LIEUTENANT,LT,lieutenant,"('lieutenant', 'lt')",business
3462,LIGHT,LIGHT,light | light,"('light | light', 'light')",business
3463,LIGHTER,LGHTR,lighter,"('lighter', 'lghtr')",business
3464,LIGHTING,LIGHT,lighting,"('lighting', 'light')",business
3465,LIMIT,LMT,limit,"('limit', 'lmt')",business
3466,LIMITED,LTD,limited,"('limited', 'ltd')",business
3467,LIMITLESS,LMTLSS,limitless,"('limitless', 'lmtlss')",business
3468,LIMO,LIMO,limo,"('limo', 'limo')",business
3469,LIMOSINE,LIMO,limosine,"('limosine', 'limo')",business
3470,LIMOUSINE,LIMO,limousine,"('limousine', 'limo')",business
3471,LIMSNE,LIMO,limsne,"('limsne', 'limo')",business
3472,LIN,LIN,lin,"('lin', 'lin')",business
3473,LINEN,LIN,linen,"('linen', 'lin')",business
3474,LINGERIE,LNGR,lingerie,"('lingerie', 'lngr')",business
3475,LINOLEUM,LNLM,linoleum,"('linoleum', 'lnlm')",business
3476,LIQUID,LQD,liquid,"('liquid', 'lqd')",business
3477,LIQUOR,LQR,liquor,"('liquor', 'lqr')",business
3478,LIT,LGT,lit,"('lit', 'lgt')",business
3479,LITHO,LITHOG,litho | litho | litho,"('litho | litho | litho', 'lithog')",business
3480,LITHOC,LITHOC,lithoc,"('lithoc', 'lithoc')",business
3481,LITHOG,LITHOG,lithog,"('lithog', 'lithog')",business
3482,LITHOGRAPH,LITHO,lithograph,"('lithograph', 'litho')",business
3483,LITHOGRAPHER,LITHOR,lithographer,"('lithographer', 'lithor')",business
3484,LITHOGRAPHIC,LITHOC,lithographic,"('lithographic', 'lithoc')",business
3485,LITHOGRAPHING,LITHOG,lithographing,"('lithographing', 'lithog')",business
3486,LITHOGRAPHY,LITHOY,lithography,"('lithography', 'lithoy')",business
3487,LITHOR,LITHOR,lithor,"('lithor', 'lithor')",business
3488,LITHOY,LITHOY,lithoy,"('lithoy', 'lithoy')",business
3489,LITTLE,LTL,little,"('little', 'ltl')",business
3490,LIVERY,LV,livery,"('livery', 'lv')",business
3491,LIVESTOCK,LVSTCK,livestock,"('livestock', 'lvstck')",business
3492,LIVING,LVNG,living,"('living', 'lvng')",business
3493,LMBR,LMBR,lmbr,"('lmbr', 'lmbr')",business
3494,LMNT,LMNT,lmnt,"('lmnt', 'lmnt')",business
3495,LMNTNG,LMNTNG,lmntng,"('lmntng', 'lmntng')",business
3496,LMT,LMT,lmt,"('lmt', 'lmt')",business
3497,LMTD,LTD,lmtd,"('lmtd', 'ltd')",business
3498,LMTLSS,LMTLSS,lmtlss,"('lmtlss', 'lmtlss')",business
3499,LNC,LNC,lnc,"('lnc', 'lnc')",business
3500,LNDFLL,LNDFLL,lndfll,"('lndfll', 'lndfll')",business
3501,LNDMRK,LNDMRK,lndmrk,"('lndmrk', 'lndmrk')",business
3502,LNDRMT,LNDRMT,lndrmt,"('lndrmt', 'lndrmt')",business
3503,LNDRY,LNDRY,lndry,"('lndry', 'lndry')",business
3504,LNDSCP,LNDSCP,lndscp,"('lndscp', 'lndscp')",business
3505,LNDSCPG,LANDSCPG,lndscpg,"('lndscpg', 'landscpg')",business
3506,LNG,LNG,lng,"('lng', 'lng')",business
3507,LNGR,LNGR,lngr,"('lngr', 'lngr')",business
3508,LNGTH,LNGTH,lngth,"('lngth', 'lngth')",business
3509,LNLM,LNLM,lnlm,"('lnlm', 'lnlm')",business
3510,LOADER,LODR,loader,"('loader', 'lodr')",business
3511,LOADING,LDNG,loading,"('loading', 'ldng')",business
