Address	Zip	Lat.	Long.
17	bmtl1 ave, Manhattan, NY	13069	43.3332353	-76.4092074
18	bmtl1 ave, Manhattan, NY	10940	41.442237	-74.436904
19	bmtl1 ave, Manhattan, NY	13357	43.02194	-75.058451
20	bmtl1 ave, Manhattan, NY	10580	40.995538	-73.6941124
21	bmtl1 ave, Manhattan, NY	11222	40.723957	-73.95105
22	bmtl1 ave, Manhattan, NY	11222	40.723454	-73.950691
23	bmtl1 ave, Manhattan, NY	11222	40.730103	-73.954445
24	bmtl1 ave, Manhattan, NY	11206	40.707157	-73.944405
25	bmtl1 ave, Manhattan, NY	11222	40.723839	-73.950195
26	bmtl1 ave, Manhattan, NY	None	40.7128417	-73.9939016
27	bmtl1 ave, Manhattan, NY	10280	40.708455	-74.017185
28	bmtl1 ave, Manhattan, NY	11575	40.674671	-73.575143
0	bmtl3 ave, Manhattan, NY	None	40.802479	-73.9586849
1	bmtl3 ave, Manhattan, NY	None	40.7212899	-73.9488901
2	bmtl3 ave, Manhattan, NY	11222	40.7378375	-73.9554203
3	bmtl3 ave, Manhattan, NY	07307	40.7428124	-74.0515645
4	bmtl3 ave, Manhattan, NY	07087	40.7567337	-74.0349984
5	bmtl3 ave, Manhattan, NY	10801	40.9188427	-73.7804972
6	bmtl3 ave, Manhattan, NY	07001	40.574897	-74.274853
7	bmtl3 ave, Manhattan, NY	10021	40.7744828	-73.9651302
8	bmtl3 ave, Manhattan, NY	10019	40.7632696	-73.9776493
9	bmtl3 ave, Manhattan, NY	10532	41.1059734	-73.790757
10	bmtl3 ave, Manhattan, NY	11704	40.718359	-73.344226
11	bmtl3 ave, Manhattan, NY	None	42.939138	-78.828154
12	bmtl3 ave, Manhattan, NY	None	40.965346	-73.8251734
13	bmtl3 ave, Manhattan, NY	None	41.0461216	-73.7970472
14	bmtl3 ave, Manhattan, NY	11762	40.676136	-73.450754
15	bmtl3 ave, Manhattan, NY	11590	40.7490359	-73.5949416
16	bmtl3 ave, Manhattan, NY	14020	43.0035979	-78.1740925
17	bmtl3 ave, Manhattan, NY	13069	43.3332353	-76.4092074
18	bmtl3 ave, Manhattan, NY	10940	41.442237	-74.436904
19	bmtl3 ave, Manhattan, NY	13357	43.02194	-75.058451
20	bmtl3 ave, Manhattan, NY	10580	40.995538	-73.6941124
21	bmtl3 ave, Manhattan, NY	11222	40.723957	-73.95105
22	bmtl3 ave, Manhattan, NY	11222	40.723454	-73.950691
23	bmtl3 ave, Manhattan, NY	11222	40.730103	-73.954445
24	bmtl3 ave, Manhattan, NY	11206	40.707157	-73.944405
