,Unnamed: 0,boro,stname,numeric_ind,GFT,len_full_name,num_of_progens,progen_word_1,progen_gft_1,progen_b10sc_1,progen_word_2,progen_gft_2,progen_b10sc_2,clean_name
818,818,2, 174 STREET BR WB ROADBED       ,N,S,30,1,E,B,22688006030, , ,           ,174 street br wb roadbed
819,819,2, 174 STREET BRIDGE              ,N,S,23,1,E,B,22688004020, , ,           ,174 street bridge
820,820,2, 174 STREET BRP SB EN           ,N,S,26,1,E,Z,21104001080, , ,           ,174 street brp sb en
821,821,2, 174 STREET EB ROADBED          ,N,S,27,1,E, ,22688003010, , ,           ,174 street eb roadbed
822,822,2, 174 STREET SB ENTRANCE BRP     ,N,S,32,1,E,Z,21104001070, , ,           ,174 street sb entrance brp
823,823,2, 174 STREET WB ROADBED          ,N,S,27,1,E, ,22688002010, , ,           ,174 street wb roadbed
824,824,2, 175 STREET                     ,N,S,16,2,E, ,22691001010,W, ,27445001010,175 st
825,825,2, 176 STREET                     ,N,S,16,2,E, ,22694001010,W, ,27448001010,176 st
826,826,2, 177 ST NORTH                   ,N,S,18,1,E, ,22697003010, , ,           ,177 st n
827,827,2, 177 ST SOUTH                   ,N,S,18,1,E, ,22697004010, , ,           ,177 st s
828,828,2, 177 STREET                     ,N,S,16,2,E, ,22697001010,W, ,27451001010,177 st
829,829,2, 177 STREET NORTH               ,N,S,22,1,E, ,22697003020, , ,           ,177 street n
830,830,2, 177 STREET SOUTH               ,N,S,22,1,E, ,22697004020, , ,           ,177 street s
831,831,2, 178 ST BRIDGE                  ,N,S,19,1,E,B,29810006140, , ,           ,178 st bridge
832,832,2, 178 ST FOOT BRIDGE             ,N,S,24,1,E,B,29810006030, , ,           ,178 st foot bridge
833,833,2, 178 ST FOOTBRIDGE              ,N,S,23,1,E,B,29810006010, , ,           ,178 st footbridge
834,834,2, 178 ST PED BRIDGE              ,N,S,23,1,E,B,29810006120, , ,           ,178 st ped bridge
835,835,2, 178 ST PED OVERPASS            ,N,S,25,1,E,B,29810006080, , ,           ,178 st ped overpass
836,836,2, 178 ST PEDESTRIAN BRIDGE       ,N,S,30,1,E,B,29810006100, , ,           ,178 st pedestrian bridge
837,837,2, 178 ST PEDESTRIAN OVERPASS     ,N,S,32,1,E,B,29810006050, , ,           ,178 st pedestrian overpass
838,838,2, 178 STREET                     ,N,S,16,2,E, ,22700001010,W, ,27453001010,178 st
839,839,2, 178 STREET BRIDGE              ,N,S,23,1,E,B,29810006130, , ,           ,178 street bridge
840,840,2, 178 STREET FOOT BRIDGE         ,N,S,28,1,E,B,29810006040, , ,           ,178 street foot bridge
841,841,2, 178 STREET FOOTBRIDGE          ,N,S,27,1,E,B,29810006020, , ,           ,178 street footbridge
842,842,2, 178 STREET PED BRIDGE          ,N,S,27,1,E,B,29810006110, , ,           ,178 street ped bridge
843,843,2, 178 STREET PED OVERPASS        ,N,S,29,1,E,B,29810006070, , ,           ,178 street ped overpass
844,844,2, 178 STREET PEDESTRIAN BRDG     ,N,S,32,1,E,B,29810006090, , ,           ,178 street pedestrian brdg
845,845,2, 178 STREET PEDESTRIAN OVPS     ,N,S,32,1,E,B,29810006060, , ,           ,178 street pedestrian ovps
846,846,2, 179 ST BRIDGE                  ,N,S,19,1,E,B,29810007140, , ,           ,179 st bridge
847,847,2, 179 ST FOOT BRIDGE             ,N,S,24,1,E,B,29810007030, , ,           ,179 st foot bridge
848,848,2, 179 ST FOOTBRIDGE              ,N,S,23,1,E,B,29810007010, , ,           ,179 st footbridge
849,849,2, 179 ST I   87 NB EN            ,N,S,25,1,W,Z,21152501280, , ,           ,179 st i 87 nb en
850,850,2, 179 ST I-87 NORTHBOUND EN      ,N,S,31,1,W,Z,21152501320, , ,           ,179 st i87 northbound en
851,851,2, 179 ST IN   87 NB EN           ,N,S,26,1,W,Z,21152501360, , ,           ,179 st in 87 nb en
852,852,2, 179 ST MDE NORTHBOUND EN       ,N,S,30,1,W,Z,21152501200, , ,           ,179 st mde northbound en
853,853,2, 179 ST NB ENTRANCE I   87      ,N,S,31,1,W,Z,21152501260, , ,           ,179 st nb entrance i 87
854,854,2, 179 ST NB ENTRANCE I-87        ,N,S,29,1,W,Z,21152501300, , ,           ,179 st nb entrance i87
855,855,2, 179 ST NB ENTRANCE IN   87     ,N,S,32,1,W,Z,21152501340, , ,           ,179 st nb entrance in 87
856,856,2, 179 ST NB ENTRANCE MDE         ,N,S,28,1,W,Z,21152501180, , ,           ,179 st nb entrance mde
857,857,2, 179 ST PED BRIDGE              ,N,S,23,1,E,B,29810007110, , ,           ,179 st ped bridge
858,858,2, 179 ST PED OVERPASS            ,N,S,25,1,E,B,29810007070, , ,           ,179 st ped overpass
859,859,2, 179 ST PEDESTRIAN BRIDGE       ,N,S,30,1,E,B,29810007120, , ,           ,179 st pedestrian bridge
860,860,2, 179 ST PEDESTRIAN OVERPASS     ,N,S,32,1,E,B,29810007080, , ,           ,179 st pedestrian overpass
861,861,2, 179 STREET                     ,N,S,16,2,E, ,22703001010,W, ,27457001010,179 st
862,862,2, 179 STREET BRIDGE              ,N,S,23,1,E,B,29810007130, , ,           ,179 street bridge
863,863,2, 179 STREET FOOT BRIDGE         ,N,S,28,1,E,B,29810007040, , ,           ,179 street foot bridge
864,864,2, 179 STREET FOOTBRIDGE          ,N,S,27,1,E,B,29810007020, , ,           ,179 street footbridge
865,865,2, 179 STREET I   87 NB EN        ,N,S,29,1,W,Z,21152501290, , ,           ,179 street i 87 nb en
866,866,2, 179 STREET I-87 NB EN          ,N,S,27,1,W,Z,21152501330, , ,           ,179 street i87 nb en
867,867,2, 179 STREET IN   87 NB EN       ,N,S,30,1,W,Z,21152501370, , ,           ,179 street in 87 nb en
868,868,2, 179 STREET MDE NB EN           ,N,S,26,1,W,Z,21152501210, , ,           ,179 street mde nb en
869,869,2, 179 STREET NB ENTRANCE MDE     ,N,S,32,1,W,Z,21152501190, , ,           ,179 street nb entrance mde
870,870,2, 179 STREET PED BRIDGE          ,N,S,27,1,E,B,29810007090, , ,           ,179 street ped bridge
871,871,2, 179 STREET PED OVERPASS        ,N,S,29,1,E,B,29810007060, , ,           ,179 street ped overpass
872,872,2, 179 STREET PEDESTRIAN BRDG     ,N,S,32,1,E,B,29810007100, , ,           ,179 street pedestrian brdg
873,873,2, 179 STREET PEDESTRIAN OVPS     ,N,S,32,1,E,B,29810007050, , ,           ,179 street pedestrian ovps
874,874,2, 180 STREET                     ,N,S,16,2,E, ,22706001010,W, ,27461001010,180 st
875,875,2, 181 STREET                     ,N,S,16,2,E, ,22709001010,W, ,27463001010,181 st
876,876,2, 182 STREET                     ,N,S,16,2,E, ,22712001010,W, ,27466001010,182 st
877,877,2, 183 STREET                     ,N,S,16,2,E, ,22715001010,W, ,27469001010,183 st
